RecordNumber,SourceName,TaskCategory,EventCode,EventType,cluster
7809,igfxCUIService2.0.0.0,14,0,4,1
7808,igfxCUIService2.0.0.0,14,0,4,1
7794,Windows Error Reporting,23,1001,4,0
7793,Windows Error Reporting,23,1001,4,0
7792,Windows Error Reporting,23,1001,4,0
7791,Windows Error Reporting,23,1001,4,0
7790,Windows Error Reporting,23,1001,4,0
7789,Windows Error Reporting,23,1001,4,0
7788,Windows Error Reporting,23,1001,4,0
7787,Windows Error Reporting,23,1001,4,0
7786,Windows Error Reporting,23,1001,4,0
7785,Windows Error Reporting,23,1001,4,0
7784,Windows Error Reporting,23,1001,4,0
7783,Application Error,1,1000,2,0
7776,Windows Error Reporting,23,1001,4,0
7775,Windows Error Reporting,23,1001,4,0
7774,Windows Error Reporting,23,1001,4,0
7773,Windows Error Reporting,23,1001,4,0
7772,Windows Error Reporting,23,1001,4,0
7771,Windows Error Reporting,23,1001,4,0
7770,Windows Error Reporting,23,1001,4,0
7769,Windows Error Reporting,23,1001,4,0
7768,Windows Error Reporting,23,1001,4,0
7767,Windows Error Reporting,23,1001,4,0
7766,Application Error,1,1000,2,0
7759,Windows Error Reporting,23,1001,4,0
7758,Windows Error Reporting,23,1001,4,0
7757,Windows Error Reporting,23,1001,4,0
7756,Windows Error Reporting,23,1001,4,0
7755,Windows Error Reporting,23,1001,4,0
7754,Windows Error Reporting,23,1001,4,0
7753,Windows Error Reporting,23,1001,4,0
7752,Windows Error Reporting,23,1001,4,0
7751,Windows Error Reporting,23,1001,4,0
7750,Application Error,1,1000,2,0
7736,Windows Error Reporting,23,1001,4,0
7735,Windows Error Reporting,23,1001,4,0
7734,Windows Error Reporting,23,1001,4,0
7733,Windows Error Reporting,23,1001,4,0
7732,Windows Error Reporting,23,1001,4,0
7731,Windows Error Reporting,23,1001,4,0
7730,Windows Error Reporting,23,1001,4,0
7729,Windows Error Reporting,23,1001,4,0
7728,Application Error,1,1000,2,0
7721,Windows Error Reporting,23,1001,4,0
7695,Windows Error Reporting,23,1001,4,0
7694,Windows Error Reporting,23,1001,4,0
7693,Windows Error Reporting,23,1001,4,0
7692,Windows Error Reporting,23,1001,4,0
7691,Windows Error Reporting,23,1001,4,0
7690,Windows Error Reporting,23,1001,4,0
7689,Windows Error Reporting,23,1001,4,0
7688,Windows Error Reporting,23,1001,4,0
7687,Windows Error Reporting,23,1001,4,0
7686,Windows Error Reporting,23,1001,4,0
7681,Windows Error Reporting,23,1001,4,0
